EA_parameter,LA_parameter
IMPC_ABR_039_001,RBRCLA_ABR_039_001
IMPC_ABR_040_001,BCMLA_ABR_040_001
IMPC_ABR_040_001,ICSLA_ABR_040_001
IMPC_ABR_040_001,RBRCLA_ABR_040_001
IMPC_ABR_041_001,BCMLA_ABR_041_001
IMPC_ABR_041_001,ICSLA_ABR_041_001
IMPC_ABR_041_001,RBRCLA_ABR_041_001
IMPC_ABR_042_001,BCMLA_ABR_042_001
IMPC_ABR_042_001,ICSLA_ABR_042_001
IMPC_ABR_042_001,RBRCLA_ABR_042_001
IMPC_ABR_043_001,BCMLA_ABR_043_001
IMPC_ABR_043_001,ICSLA_ABR_043_001
IMPC_ABR_043_001,RBRCLA_ABR_043_001
IMPC_ABR_044_001,BCMLA_ABR_044_001
IMPC_ABR_044_001,ICSLA_ABR_044_001
IMPC_ABR_044_001,RBRCLA_ABR_044_001
IMPC_ABR_045_001,BCMLA_ABR_045_001
IMPC_ABR_045_001,ICSLA_ABR_045_001
IMPC_ABR_045_001,RBRCLA_ABR_045_001
IMPC_ABR_046_001,BCMLA_ABR_046_001
IMPC_ABR_046_001,ICSLA_ABR_046_001
IMPC_ABR_046_001,RBRCLA_ABR_046_001
IMPC_ABR_048_001,BCMLA_ABR_047_001
IMPC_ABR_048_001,ICSLA_ABR_047_001
IMPC_ABR_048_001,RBRCLA_ABR_048_001
IMPC_ABR_049_001,BCMLA_ABR_048_001
IMPC_ABR_049_001,ICSLA_ABR_048_001
IMPC_ABR_049_001,RBRCLA_ABR_049_001
IMPC_ABR_050_001,BCMLA_ABR_049_001
IMPC_ABR_050_001,ICSLA_ABR_049_001
IMPC_ABR_050_001,RBRCLA_ABR_050_001
IMPC_ABR_051_001,BCMLA_ABR_050_001
IMPC_ABR_051_001,ICSLA_ABR_050_001
IMPC_ABR_051_001,RBRCLA_ABR_051_001
IMPC_ABR_052_001,BCMLA_ABR_051_001
IMPC_ABR_052_001,ICSLA_ABR_051_001
IMPC_ABR_052_001,RBRCLA_ABR_052_001
IMPC_ABR_053_001,BCMLA_ABR_052_001
IMPC_ABR_053_001,ICSLA_ABR_052_001
IMPC_ABR_053_001,RBRCLA_ABR_053_001
IMPC_ABR_054_001,BCMLA_ABR_053_001
IMPC_ABR_054_001,ICSLA_ABR_053_001
IMPC_ABR_054_001,RBRCLA_ABR_054_001
IMPC_BWT_001_001,BCMLA_BWT_001_001
IMPC_BWT_001_001,HMGULA_BWT_001_001
IMPC_BWT_001_001,HRWLIP_BWT_001_001
IMPC_BWT_001_001,HRWLLA_BWT_001_001
IMPC_BWT_001_001,ICSLA_BWT_001_001
IMPC_BWT_001_001,JAXIP_BWT_001_001
IMPC_BWT_001_001,JAXLA_BWT_001_001
IMPC_BWT_001_001,RBRCLA_BWT_001_001
IMPC_BWT_001_001,TCPIP_BWT_001_001
IMPC_BWT_001_001,TCPLA_BWT_001_001
IMPC_BWT_001_001,UCDIP_BWT_001_001
IMPC_BWT_001_001,UCDLA_BWT_001_001
IMPC_BWT_002_001,BCMLA_BWT_002_001
IMPC_BWT_002_001,HMGULA_BWT_002_001
IMPC_BWT_002_001,HRWLIP_BWT_002_001
IMPC_BWT_002_001,HRWLLA_BWT_002_001
IMPC_BWT_002_001,ICSLA_BWT_002_001
IMPC_BWT_002_001,JAXIP_BWT_002_001
IMPC_BWT_002_001,JAXLA_BWT_002_001
IMPC_BWT_002_001,RBRCLA_BWT_002_001
IMPC_BWT_002_001,TCPIP_BWT_002_001
IMPC_BWT_002_001,TCPLA_BWT_002_001
IMPC_BWT_002_001,UCDIP_BWT_002_001
IMPC_BWT_002_001,UCDLA_BWT_002_001
IMPC_BWT_003_001,BCMLA_BWT_003_001
IMPC_BWT_003_001,HMGULA_BWT_003_001
IMPC_BWT_003_001,HRWLIP_BWT_003_001
IMPC_BWT_003_001,HRWLLA_BWT_003_001
IMPC_BWT_003_001,ICSLA_BWT_003_001
IMPC_BWT_003_001,JAXIP_BWT_003_001
IMPC_BWT_003_001,JAXLA_BWT_003_001
IMPC_BWT_003_001,RBRCLA_BWT_003_001
IMPC_BWT_003_001,TCPIP_BWT_003_001
IMPC_BWT_003_001,TCPLA_BWT_003_001
IMPC_BWT_003_001,UCDIP_BWT_003_001
IMPC_BWT_003_001,UCDLA_BWT_003_001
IMPC_BWT_004_001,BCMLA_BWT_004_001
IMPC_BWT_004_001,HMGULA_BWT_004_001
IMPC_BWT_004_001,HRWLIP_BWT_004_001
IMPC_BWT_004_001,HRWLLA_BWT_004_001
IMPC_BWT_004_001,ICSLA_BWT_004_001
IMPC_BWT_004_001,JAXIP_BWT_004_001
IMPC_BWT_004_001,JAXLA_BWT_004_001
IMPC_BWT_004_001,RBRCLA_BWT_004_001
IMPC_BWT_004_001,TCPIP_BWT_004_001
IMPC_BWT_004_001,TCPLA_BWT_004_001
IMPC_BWT_004_001,UCDIP_BWT_004_001
IMPC_BWT_004_001,UCDLA_BWT_004_001
IMPC_BWT_005_001,BCMLA_BWT_005_001
IMPC_BWT_005_001,HMGULA_BWT_005_001
IMPC_BWT_005_001,HRWLIP_BWT_005_001
IMPC_BWT_005_001,HRWLLA_BWT_005_001
IMPC_BWT_005_001,ICSLA_BWT_005_001
IMPC_BWT_005_001,JAXIP_BWT_005_001
IMPC_BWT_005_001,JAXLA_BWT_005_001
IMPC_BWT_005_001,RBRCLA_BWT_005_001
IMPC_BWT_005_001,TCPIP_BWT_005_001
IMPC_BWT_005_001,TCPLA_BWT_005_001
IMPC_BWT_005_001,UCDIP_BWT_005_001
IMPC_BWT_005_001,UCDLA_BWT_005_001
IMPC_BWT_006_001,BCMLA_BWT_006_001
IMPC_BWT_006_001,HMGULA_BWT_006_001
IMPC_BWT_006_001,HRWLIP_BWT_006_001
IMPC_BWT_006_001,HRWLLA_BWT_006_001
IMPC_BWT_006_001,ICSLA_BWT_006_001
IMPC_BWT_006_001,JAXIP_BWT_006_001
IMPC_BWT_006_001,JAXLA_BWT_006_001
IMPC_BWT_006_001,RBRCLA_BWT_006_001
IMPC_BWT_006_001,TCPIP_BWT_006_001
IMPC_BWT_006_001,TCPLA_BWT_006_001
IMPC_BWT_006_001,UCDIP_BWT_006_001
IMPC_BWT_006_001,UCDLA_BWT_006_001
IMPC_BWT_007_001,BCMLA_BWT_007_001
IMPC_BWT_007_001,HMGULA_BWT_007_001
IMPC_BWT_007_001,HRWLIP_BWT_007_001
IMPC_BWT_007_001,HRWLLA_BWT_007_001
IMPC_BWT_007_001,ICSLA_BWT_007_001
IMPC_BWT_007_001,JAXIP_BWT_007_001
IMPC_BWT_007_001,JAXLA_BWT_007_001
IMPC_BWT_007_001,RBRCLA_BWT_007_001
IMPC_BWT_007_001,TCPIP_BWT_007_001
IMPC_BWT_007_001,TCPLA_BWT_007_001
IMPC_BWT_007_001,UCDIP_BWT_007_001
IMPC_BWT_007_001,UCDLA_BWT_007_001
IMPC_BWT_008_001,BCMLA_BWT_008_001
IMPC_BWT_008_001,HMGULA_BWT_008_001
IMPC_BWT_008_001,HRWLIP_BWT_008_001
IMPC_BWT_008_001,HRWLLA_BWT_008_001
IMPC_BWT_008_001,ICSLA_BWT_008_001
IMPC_BWT_008_001,JAXIP_BWT_008_001
IMPC_BWT_008_001,JAXLA_BWT_008_001
IMPC_BWT_008_001,RBRCLA_BWT_008_001
IMPC_BWT_008_001,TCPIP_BWT_008_001
IMPC_BWT_008_001,TCPLA_BWT_008_001
IMPC_BWT_008_001,UCDIP_BWT_008_001
IMPC_BWT_008_001,UCDLA_BWT_008_001
IMPC_CSD_001_001,HRWLIP_CSD_001_001
IMPC_CSD_001_001,HRWLLA_CSD_001_001
IMPC_CSD_001_001,JAXLA_CSD_001_001
IMPC_CSD_001_001,RBRCLA_CSD_001_001
IMPC_CSD_001_001,TCPIP_CSD_001_001
IMPC_CSD_001_001,TCPLA_CSD_001_001
IMPC_CSD_001_001,UCDIP_CSD_001_001
IMPC_CSD_001_001,UCDLA_CSD_001_001
IMPC_CSD_002_001,HRWLIP_CSD_002_001
IMPC_CSD_002_001,HRWLLA_CSD_002_001
IMPC_CSD_002_001,JAXLA_CSD_002_001
IMPC_CSD_002_001,RBRCLA_CSD_002_001
IMPC_CSD_002_001,TCPIP_CSD_002_001
IMPC_CSD_002_001,TCPLA_CSD_002_001
IMPC_CSD_002_001,UCDIP_CSD_002_001
IMPC_CSD_002_001,UCDLA_CSD_002_001
IMPC_CSD_003_001,HRWLIP_CSD_003_001
IMPC_CSD_003_001,HRWLLA_CSD_003_001
IMPC_CSD_003_001,JAXLA_CSD_003_001
IMPC_CSD_003_001,RBRCLA_CSD_003_001
IMPC_CSD_003_001,TCPIP_CSD_003_001
IMPC_CSD_003_001,TCPLA_CSD_003_001
IMPC_CSD_003_001,UCDIP_CSD_003_001
IMPC_CSD_003_001,UCDLA_CSD_003_001
IMPC_CSD_004_001,HRWLIP_CSD_004_001
IMPC_CSD_004_001,HRWLLA_CSD_004_001
IMPC_CSD_004_001,JAXLA_CSD_004_001
IMPC_CSD_004_001,RBRCLA_CSD_004_001
IMPC_CSD_004_001,TCPIP_CSD_004_001
IMPC_CSD_004_001,TCPLA_CSD_004_001
IMPC_CSD_004_001,UCDIP_CSD_004_001
IMPC_CSD_004_001,UCDLA_CSD_004_001
IMPC_CSD_005_001,HRWLIP_CSD_005_001
IMPC_CSD_005_001,HRWLLA_CSD_005_001
IMPC_CSD_005_001,JAXLA_CSD_005_001
IMPC_CSD_005_001,RBRCLA_CSD_005_001
IMPC_CSD_005_001,TCPIP_CSD_005_001
IMPC_CSD_005_001,TCPLA_CSD_005_001
IMPC_CSD_005_001,UCDIP_CSD_005_001
IMPC_CSD_005_001,UCDLA_CSD_005_001
IMPC_CSD_006_001,HRWLIP_CSD_006_001
IMPC_CSD_006_001,HRWLLA_CSD_006_001
IMPC_CSD_006_001,JAXLA_CSD_006_001
IMPC_CSD_006_001,RBRCLA_CSD_006_001
IMPC_CSD_006_001,TCPIP_CSD_006_001
IMPC_CSD_006_001,TCPLA_CSD_006_001
IMPC_CSD_006_001,UCDIP_CSD_006_001
IMPC_CSD_006_001,UCDLA_CSD_006_001
IMPC_CSD_007_001,HRWLIP_CSD_007_001
IMPC_CSD_007_001,HRWLLA_CSD_007_001
IMPC_CSD_007_001,JAXLA_CSD_007_001
