EA_parameter,LA_parameter
IMPC_CSD_032_001,UCDLA_CSD_032_001
IMPC_CSD_033_001,HRWLIP_CSD_033_001
IMPC_CSD_033_001,HRWLLA_CSD_033_001
IMPC_CSD_033_001,JAXLA_CSD_033_001
IMPC_CSD_033_001,RBRCLA_CSD_033_001
IMPC_CSD_033_001,TCPIP_CSD_033_001
IMPC_CSD_033_001,TCPLA_CSD_033_001
IMPC_CSD_033_001,UCDIP_CSD_033_001
IMPC_CSD_033_001,UCDLA_CSD_033_001
IMPC_CSD_034_001,HRWLIP_CSD_034_001
IMPC_CSD_034_001,HRWLLA_CSD_034_001
IMPC_CSD_034_001,JAXLA_CSD_034_001
IMPC_CSD_034_001,RBRCLA_CSD_034_001
IMPC_CSD_034_001,TCPIP_CSD_034_001
IMPC_CSD_034_001,TCPLA_CSD_034_001
IMPC_CSD_034_001,UCDIP_CSD_034_001
IMPC_CSD_034_001,UCDLA_CSD_034_001
IMPC_CSD_035_001,JAXLA_CSD_035_001
IMPC_CSD_036_001,HRWLIP_CSD_036_001
IMPC_CSD_036_001,HRWLLA_CSD_036_001
IMPC_CSD_036_001,JAXLA_CSD_036_001
IMPC_CSD_036_001,RBRCLA_CSD_036_001
IMPC_CSD_036_001,TCPIP_CSD_036_001
IMPC_CSD_036_001,TCPLA_CSD_036_001
IMPC_CSD_036_001,UCDIP_CSD_036_001
IMPC_CSD_036_001,UCDLA_CSD_036_001
IMPC_CSD_037_001,HRWLIP_CSD_037_001
IMPC_CSD_037_001,HRWLLA_CSD_037_001
IMPC_CSD_037_001,JAXLA_CSD_037_001
IMPC_CSD_037_001,RBRCLA_CSD_037_001
IMPC_CSD_037_001,TCPIP_CSD_037_001
IMPC_CSD_037_001,TCPLA_CSD_037_001
IMPC_CSD_037_001,UCDIP_CSD_037_001
IMPC_CSD_037_001,UCDLA_CSD_037_001
IMPC_CSD_038_001,HRWLIP_CSD_038_001
IMPC_CSD_038_001,HRWLLA_CSD_038_001
IMPC_CSD_038_001,JAXLA_CSD_038_001
IMPC_CSD_038_001,RBRCLA_CSD_038_001
IMPC_CSD_038_001,TCPIP_CSD_038_001
IMPC_CSD_038_001,TCPLA_CSD_038_001
IMPC_CSD_038_001,UCDIP_CSD_038_001
IMPC_CSD_038_001,UCDLA_CSD_038_001
IMPC_CSD_039_001,HRWLIP_CSD_039_001
IMPC_CSD_039_001,HRWLLA_CSD_039_001
IMPC_CSD_039_001,JAXLA_CSD_039_001
IMPC_CSD_039_001,RBRCLA_CSD_039_001
IMPC_CSD_039_001,TCPIP_CSD_039_001
IMPC_CSD_039_001,TCPLA_CSD_039_001
IMPC_CSD_039_001,UCDIP_CSD_039_001
IMPC_CSD_039_001,UCDLA_CSD_039_001
IMPC_CSD_040_001,JAXLA_CSD_040_001
IMPC_CSD_040_002,HRWLIP_CSD_040_001
IMPC_CSD_040_002,HRWLLA_CSD_040_001
IMPC_CSD_040_002,RBRCLA_CSD_040_001
IMPC_CSD_040_002,TCPIP_CSD_040_001
IMPC_CSD_040_002,TCPLA_CSD_040_001
IMPC_CSD_040_002,UCDIP_CSD_040_001
IMPC_CSD_040_002,UCDLA_CSD_040_001
IMPC_CSD_041_001,JAXLA_CSD_041_001
IMPC_CSD_041_002,HRWLIP_CSD_041_001
IMPC_CSD_041_002,HRWLLA_CSD_041_001
IMPC_CSD_041_002,RBRCLA_CSD_041_001
IMPC_CSD_041_002,TCPIP_CSD_041_001
IMPC_CSD_041_002,TCPLA_CSD_041_001
IMPC_CSD_041_002,UCDIP_CSD_041_001
IMPC_CSD_041_002,UCDLA_CSD_041_001
IMPC_CSD_042_001,JAXLA_CSD_042_001
IMPC_CSD_042_002,HRWLIP_CSD_042_001
IMPC_CSD_042_002,HRWLLA_CSD_042_001
IMPC_CSD_042_002,RBRCLA_CSD_042_001
IMPC_CSD_042_002,TCPIP_CSD_042_001
IMPC_CSD_042_002,TCPLA_CSD_042_001
IMPC_CSD_042_002,UCDIP_CSD_042_001
IMPC_CSD_042_002,UCDLA_CSD_042_001
IMPC_CSD_043_001,JAXLA_CSD_043_001
IMPC_CSD_043_002,HRWLIP_CSD_043_001
IMPC_CSD_043_002,HRWLLA_CSD_043_001
IMPC_CSD_043_002,RBRCLA_CSD_043_001
IMPC_CSD_043_002,TCPIP_CSD_043_001
IMPC_CSD_043_002,TCPLA_CSD_043_001
IMPC_CSD_043_002,UCDIP_CSD_043_001
IMPC_CSD_043_002,UCDLA_CSD_043_001
IMPC_CSD_044_001,JAXLA_CSD_044_001
IMPC_CSD_044_002,HRWLIP_CSD_044_001
IMPC_CSD_044_002,HRWLLA_CSD_044_001
IMPC_CSD_044_002,RBRCLA_CSD_044_001
IMPC_CSD_044_002,TCPIP_CSD_044_001
IMPC_CSD_044_002,TCPLA_CSD_044_001
IMPC_CSD_044_002,UCDIP_CSD_044_001
IMPC_CSD_044_002,UCDLA_CSD_044_001
IMPC_CSD_045_001,JAXLA_CSD_045_001
IMPC_CSD_045_002,HRWLIP_CSD_045_001
IMPC_CSD_045_002,HRWLLA_CSD_045_001
IMPC_CSD_045_002,RBRCLA_CSD_045_001
IMPC_CSD_045_002,TCPIP_CSD_045_001
IMPC_CSD_045_002,TCPLA_CSD_045_001
IMPC_CSD_045_002,UCDIP_CSD_045_001
IMPC_CSD_045_002,UCDLA_CSD_045_001
IMPC_CSD_046_001,HRWLIP_CSD_046_001
IMPC_CSD_046_001,HRWLLA_CSD_046_001
IMPC_CSD_046_001,JAXLA_CSD_046_001
IMPC_CSD_046_001,RBRCLA_CSD_046_001
IMPC_CSD_046_001,TCPIP_CSD_046_001
IMPC_CSD_046_001,TCPLA_CSD_046_001
IMPC_CSD_046_001,UCDIP_CSD_046_001
IMPC_CSD_046_001,UCDLA_CSD_046_001
IMPC_CSD_047_001,HRWLIP_CSD_047_001
IMPC_CSD_047_001,HRWLLA_CSD_047_001
IMPC_CSD_047_001,JAXLA_CSD_047_001
IMPC_CSD_047_001,RBRCLA_CSD_047_001
IMPC_CSD_047_001,TCPIP_CSD_047_001
IMPC_CSD_047_001,TCPLA_CSD_047_001
IMPC_CSD_047_001,UCDIP_CSD_047_001
IMPC_CSD_047_001,UCDLA_CSD_047_001
IMPC_CSD_048_001,JAXLA_CSD_048_001
IMPC_CSD_048_002,HRWLIP_CSD_048_001
IMPC_CSD_048_002,HRWLLA_CSD_048_001
IMPC_CSD_048_002,RBRCLA_CSD_048_001
IMPC_CSD_048_002,TCPIP_CSD_048_001
IMPC_CSD_048_002,TCPLA_CSD_048_001
IMPC_CSD_048_002,UCDIP_CSD_048_001
IMPC_CSD_048_002,UCDLA_CSD_048_001
IMPC_CSD_049_001,JAXLA_CSD_049_001
IMPC_CSD_049_002,HRWLIP_CSD_049_001
IMPC_CSD_049_002,HRWLLA_CSD_049_001
IMPC_CSD_049_002,RBRCLA_CSD_049_001
IMPC_CSD_049_002,TCPIP_CSD_049_001
IMPC_CSD_049_002,TCPLA_CSD_049_001
IMPC_CSD_049_002,UCDIP_CSD_049_001
IMPC_CSD_049_002,UCDLA_CSD_049_001
IMPC_CSD_050_001,JAXLA_CSD_050_001
IMPC_CSD_050_002,HRWLIP_CSD_050_001
IMPC_CSD_050_002,HRWLLA_CSD_050_001
IMPC_CSD_050_002,RBRCLA_CSD_050_001
IMPC_CSD_050_002,TCPIP_CSD_050_001
IMPC_CSD_050_002,TCPLA_CSD_050_001
IMPC_CSD_050_002,UCDIP_CSD_050_001
IMPC_CSD_050_002,UCDLA_CSD_050_001
IMPC_CSD_051_001,JAXLA_CSD_051_001
IMPC_CSD_051_002,HRWLIP_CSD_051_001
IMPC_CSD_051_002,HRWLLA_CSD_051_001
IMPC_CSD_051_002,RBRCLA_CSD_051_001
IMPC_CSD_051_002,TCPIP_CSD_051_001
IMPC_CSD_051_002,TCPLA_CSD_051_001
IMPC_CSD_051_002,UCDIP_CSD_051_001
IMPC_CSD_051_002,UCDLA_CSD_051_001
IMPC_CSD_052_001,JAXLA_CSD_052_001
IMPC_CSD_052_002,HRWLIP_CSD_052_001
IMPC_CSD_052_002,HRWLLA_CSD_052_001
IMPC_CSD_052_002,RBRCLA_CSD_052_001
IMPC_CSD_052_002,TCPIP_CSD_052_001
IMPC_CSD_052_002,TCPLA_CSD_052_001
IMPC_CSD_052_002,UCDIP_CSD_052_001
IMPC_CSD_052_002,UCDLA_CSD_052_001
IMPC_CSD_053_001,JAXLA_CSD_053_001
IMPC_CSD_053_002,HRWLIP_CSD_053_001
IMPC_CSD_053_002,HRWLLA_CSD_053_001
IMPC_CSD_053_002,RBRCLA_CSD_053_001
IMPC_CSD_053_002,TCPIP_CSD_053_001
IMPC_CSD_053_002,TCPLA_CSD_053_001
IMPC_CSD_053_002,UCDIP_CSD_053_001
IMPC_CSD_053_002,UCDLA_CSD_053_001
IMPC_CSD_054_001,JAXLA_CSD_054_001
IMPC_CSD_054_002,HRWLIP_CSD_054_001
IMPC_CSD_054_002,HRWLLA_CSD_054_001
IMPC_CSD_054_002,RBRCLA_CSD_054_001
IMPC_CSD_054_002,TCPIP_CSD_054_001
IMPC_CSD_054_002,TCPLA_CSD_054_001
IMPC_CSD_054_002,UCDIP_CSD_054_001
IMPC_CSD_054_002,UCDLA_CSD_054_001
IMPC_CSD_055_001,JAXLA_CSD_055_001
IMPC_CSD_055_002,HRWLIP_CSD_055_001
IMPC_CSD_055_002,HRWLLA_CSD_055_001
IMPC_CSD_055_002,RBRCLA_CSD_055_001
IMPC_CSD_055_002,TCPIP_CSD_055_001
IMPC_CSD_055_002,TCPLA_CSD_055_001
IMPC_CSD_055_002,UCDIP_CSD_055_001
IMPC_CSD_055_002,UCDLA_CSD_055_001
IMPC_CSD_056_001,HRWLIP_CSD_056_001
IMPC_CSD_056_001,HRWLLA_CSD_056_001
IMPC_CSD_056_001,JAXLA_CSD_056_001
IMPC_CSD_056_001,RBRCLA_CSD_056_001
IMPC_CSD_056_001,TCPIP_CSD_056_001
IMPC_CSD_056_001,TCPLA_CSD_056_001
IMPC_CSD_056_001,UCDIP_CSD_056_001
IMPC_CSD_056_001,UCDLA_CSD_056_001
IMPC_CSD_057_001,HRWLIP_CSD_057_001
IMPC_CSD_057_001,HRWLLA_CSD_057_001
IMPC_CSD_057_001,JAXLA_CSD_057_001
IMPC_CSD_057_001,RBRCLA_CSD_057_001
IMPC_CSD_057_001,TCPIP_CSD_057_001
IMPC_CSD_057_001,TCPLA_CSD_057_001
IMPC_CSD_057_001,UCDIP_CSD_057_001
IMPC_CSD_057_001,UCDLA_CSD_057_001
IMPC_CSD_058_001,HRWLIP_CSD_058_001
IMPC_CSD_058_001,HRWLLA_CSD_058_001
IMPC_CSD_058_001,JAXLA_CSD_058_001
IMPC_CSD_058_001,RBRCLA_CSD_058_001
IMPC_CSD_058_001,TCPIP_CSD_058_001
IMPC_CSD_058_001,TCPLA_CSD_058_001
IMPC_CSD_058_001,UCDIP_CSD_058_001
IMPC_CSD_058_001,UCDLA_CSD_058_001
IMPC_CSD_059_001,HRWLIP_CSD_059_001
IMPC_CSD_059_001,HRWLLA_CSD_059_001
IMPC_CSD_059_001,JAXLA_CSD_059_001
IMPC_CSD_059_001,RBRCLA_CSD_059_001
IMPC_CSD_059_001,TCPIP_CSD_059_001
IMPC_CSD_059_001,TCPLA_CSD_059_001
IMPC_CSD_059_001,UCDIP_CSD_059_001
IMPC_CSD_059_001,UCDLA_CSD_059_001
IMPC_CSD_060_001,HRWLIP_CSD_060_001
IMPC_CSD_060_001,HRWLLA_CSD_060_001
IMPC_CSD_060_001,JAXLA_CSD_060_001
IMPC_CSD_060_001,RBRCLA_CSD_060_001
IMPC_CSD_060_001,TCPIP_CSD_060_001
IMPC_CSD_060_001,TCPLA_CSD_060_001
IMPC_CSD_060_001,UCDIP_CSD_060_001
IMPC_CSD_060_001,UCDLA_CSD_060_001
IMPC_CSD_061_001,HRWLIP_CSD_061_001
IMPC_CSD_061_001,HRWLLA_CSD_061_001
IMPC_CSD_061_001,JAXLA_CSD_061_001
IMPC_CSD_061_001,RBRCLA_CSD_061_001
IMPC_CSD_061_001,TCPIP_CSD_061_001
IMPC_CSD_061_001,TCPLA_CSD_061_001
IMPC_CSD_061_001,UCDIP_CSD_061_001
IMPC_CSD_061_001,UCDLA_CSD_061_001
IMPC_CSD_062_001,HRWLIP_CSD_062_001
IMPC_CSD_062_001,HRWLLA_CSD_062_001
IMPC_CSD_062_001,JAXLA_CSD_062_001
IMPC_CSD_062_001,RBRCLA_CSD_062_001
IMPC_CSD_062_001,TCPIP_CSD_062_001
IMPC_CSD_062_001,TCPLA_CSD_062_001
IMPC_CSD_062_001,UCDIP_CSD_062_001
IMPC_CSD_062_001,UCDLA_CSD_062_001
IMPC_CSD_063_001,HRWLIP_CSD_063_001
IMPC_CSD_063_001,HRWLLA_CSD_063_001
IMPC_CSD_063_001,JAXLA_CSD_063_001
IMPC_CSD_063_001,RBRCLA_CSD_063_001
IMPC_CSD_063_001,TCPIP_CSD_063_001
IMPC_CSD_063_001,TCPLA_CSD_063_001
IMPC_CSD_063_001,UCDIP_CSD_063_001
IMPC_CSD_063_001,UCDLA_CSD_063_001
IMPC_CSD_064_001,HRWLIP_CSD_064_001
IMPC_CSD_064_001,HRWLLA_CSD_064_001
IMPC_CSD_064_001,JAXLA_CSD_064_001
IMPC_CSD_064_001,RBRCLA_CSD_064_001
IMPC_CSD_064_001,TCPIP_CSD_064_001
IMPC_CSD_064_001,TCPLA_CSD_064_001
IMPC_CSD_064_001,UCDIP_CSD_064_001
IMPC_CSD_064_001,UCDLA_CSD_064_001
IMPC_CSD_065_001,HRWLIP_CSD_065_001
IMPC_CSD_065_001,HRWLLA_CSD_065_001
IMPC_CSD_065_001,JAXLA_CSD_065_001
IMPC_CSD_065_001,RBRCLA_CSD_065_001
IMPC_CSD_065_001,TCPIP_CSD_065_001
IMPC_CSD_065_001,TCPLA_CSD_065_001
IMPC_CSD_065_001,UCDIP_CSD_065_001
IMPC_CSD_065_001,UCDLA_CSD_065_001
IMPC_CSD_066_001,HRWLIP_CSD_066_001
IMPC_CSD_066_001,HRWLLA_CSD_066_001
IMPC_CSD_066_001,JAXLA_CSD_066_001
IMPC_CSD_066_001,RBRCLA_CSD_066_001
IMPC_CSD_066_001,TCPIP_CSD_066_001
IMPC_CSD_066_001,TCPLA_CSD_066_001
IMPC_CSD_066_001,UCDIP_CSD_066_001
IMPC_CSD_066_001,UCDLA_CSD_066_001
IMPC_CSD_067_001,HRWLIP_CSD_067_001
IMPC_CSD_067_001,HRWLLA_CSD_067_001
IMPC_CSD_067_001,JAXLA_CSD_067_001
IMPC_CSD_067_001,RBRCLA_CSD_067_001
IMPC_CSD_067_001,TCPIP_CSD_067_001
IMPC_CSD_067_001,TCPLA_CSD_067_001
IMPC_CSD_067_001,UCDIP_CSD_067_001
IMPC_CSD_067_001,UCDLA_CSD_067_001
IMPC_CSD_068_001,HRWLIP_CSD_068_001
IMPC_CSD_068_001,HRWLLA_CSD_068_001
IMPC_CSD_068_001,JAXLA_CSD_068_001
IMPC_CSD_068_001,RBRCLA_CSD_068_001
IMPC_CSD_068_001,TCPIP_CSD_068_001
IMPC_CSD_068_001,TCPLA_CSD_068_001
IMPC_CSD_068_001,UCDIP_CSD_068_001
IMPC_CSD_068_001,UCDLA_CSD_068_001
IMPC_CSD_069_001,HRWLIP_CSD_069_001
IMPC_CSD_069_001,HRWLLA_CSD_069_001
IMPC_CSD_069_001,JAXLA_CSD_069_001
IMPC_CSD_069_001,RBRCLA_CSD_069_001
IMPC_CSD_069_001,TCPIP_CSD_069_001
IMPC_CSD_069_001,TCPLA_CSD_069_001
IMPC_CSD_069_001,UCDIP_CSD_069_001
IMPC_CSD_069_001,UCDLA_CSD_069_001
IMPC_CSD_070_001,HRWLIP_CSD_070_001
IMPC_CSD_070_001,HRWLLA_CSD_070_001
IMPC_CSD_070_001,JAXLA_CSD_070_001
IMPC_CSD_070_001,RBRCLA_CSD_070_001
IMPC_CSD_070_001,TCPIP_CSD_070_001
IMPC_CSD_070_001,TCPLA_CSD_070_001
IMPC_CSD_070_001,UCDIP_CSD_070_001
IMPC_CSD_070_001,UCDLA_CSD_070_001
IMPC_CSD_071_001,HRWLIP_CSD_071_001
IMPC_CSD_071_001,HRWLLA_CSD_071_001
IMPC_CSD_071_001,JAXLA_CSD_071_001
IMPC_CSD_071_001,RBRCLA_CSD_071_001
IMPC_CSD_071_001,TCPIP_CSD_071_001
IMPC_CSD_071_001,TCPLA_CSD_071_001
IMPC_CSD_071_001,UCDIP_CSD_071_001
IMPC_CSD_071_001,UCDLA_CSD_071_001
IMPC_CSD_072_001,HRWLIP_CSD_072_001
IMPC_CSD_072_001,HRWLLA_CSD_072_001
IMPC_CSD_072_001,JAXLA_CSD_072_001
IMPC_CSD_072_001,RBRCLA_CSD_072_001
IMPC_CSD_072_001,TCPIP_CSD_072_001
IMPC_CSD_072_001,TCPLA_CSD_072_001
IMPC_CSD_072_001,UCDIP_CSD_072_001
IMPC_CSD_072_001,UCDLA_CSD_072_001
IMPC_CSD_073_001,HRWLIP_CSD_073_001
IMPC_CSD_073_001,HRWLLA_CSD_073_001
IMPC_CSD_073_001,JAXLA_CSD_073_001
IMPC_CSD_073_001,RBRCLA_CSD_073_001
IMPC_CSD_073_001,TCPIP_CSD_073_001
IMPC_CSD_073_001,TCPLA_CSD_073_001
IMPC_CSD_073_001,UCDIP_CSD_073_001
IMPC_CSD_073_001,UCDLA_CSD_073_001
IMPC_CSD_074_001,HRWLIP_CSD_074_001
IMPC_CSD_074_001,HRWLLA_CSD_074_001
IMPC_CSD_074_001,JAXLA_CSD_074_001
IMPC_CSD_074_001,RBRCLA_CSD_074_001
IMPC_CSD_074_001,TCPIP_CSD_074_001
IMPC_CSD_074_001,TCPLA_CSD_074_001
IMPC_CSD_074_001,UCDIP_CSD_074_001
IMPC_CSD_074_001,UCDLA_CSD_074_001
IMPC_CSD_075_001,HRWLIP_CSD_075_001
IMPC_CSD_075_001,HRWLLA_CSD_075_001
IMPC_CSD_075_001,JAXLA_CSD_075_001
IMPC_CSD_075_001,RBRCLA_CSD_075_001
IMPC_CSD_075_001,TCPIP_CSD_075_001
IMPC_CSD_075_001,TCPLA_CSD_075_001
IMPC_CSD_075_001,UCDIP_CSD_075_001
IMPC_CSD_075_001,UCDLA_CSD_075_001
IMPC_CSD_076_001,HRWLIP_CSD_076_001
IMPC_CSD_076_001,HRWLLA_CSD_076_001
IMPC_CSD_076_001,JAXLA_CSD_076_001
IMPC_CSD_076_001,RBRCLA_CSD_076_001
IMPC_CSD_076_001,TCPIP_CSD_076_001
IMPC_CSD_076_001,TCPLA_CSD_076_001
IMPC_CSD_076_001,UCDIP_CSD_076_001
IMPC_CSD_076_001,UCDLA_CSD_076_001
IMPC_CSD_077_001,HRWLIP_CSD_077_001
IMPC_CSD_077_001,HRWLLA_CSD_077_001
IMPC_CSD_077_001,JAXLA_CSD_077_001
IMPC_CSD_077_001,RBRCLA_CSD_077_001
IMPC_CSD_077_001,TCPIP_CSD_077_001
IMPC_CSD_077_001,TCPLA_CSD_077_001
IMPC_CSD_077_001,UCDIP_CSD_077_001
IMPC_CSD_077_001,UCDLA_CSD_077_001
IMPC_CSD_078_001,HRWLIP_CSD_078_001
IMPC_CSD_078_001,HRWLLA_CSD_078_001
IMPC_CSD_078_001,JAXLA_CSD_078_001
IMPC_CSD_078_001,RBRCLA_CSD_078_001
IMPC_CSD_078_001,TCPIP_CSD_078_001
IMPC_CSD_078_001,TCPLA_CSD_078_001
IMPC_CSD_078_001,UCDIP_CSD_078_001
IMPC_CSD_078_001,UCDLA_CSD_078_001
IMPC_CSD_079_001,HRWLIP_CSD_079_001
IMPC_CSD_079_001,HRWLLA_CSD_079_001
IMPC_CSD_079_001,JAXLA_CSD_079_001
IMPC_CSD_079_001,RBRCLA_CSD_079_001
IMPC_CSD_079_001,TCPIP_CSD_079_001
IMPC_CSD_079_001,TCPLA_CSD_079_001
IMPC_CSD_079_001,UCDIP_CSD_079_001
IMPC_CSD_079_001,UCDLA_CSD_079_001
IMPC_CSD_080_001,HRWLIP_CSD_080_001
IMPC_CSD_080_001,HRWLLA_CSD_080_001
IMPC_CSD_080_001,JAXLA_CSD_080_001
IMPC_CSD_080_001,RBRCLA_CSD_080_001
IMPC_CSD_080_001,TCPIP_CSD_080_001
IMPC_CSD_080_001,TCPLA_CSD_080_001
IMPC_CSD_080_001,UCDIP_CSD_080_001
IMPC_CSD_080_001,UCDLA_CSD_080_001
IMPC_CSD_081_001,HRWLIP_CSD_081_001
IMPC_CSD_081_001,HRWLLA_CSD_081_001
IMPC_CSD_081_001,JAXLA_CSD_081_001
IMPC_CSD_081_001,RBRCLA_CSD_081_001
IMPC_CSD_081_001,TCPIP_CSD_081_001
IMPC_CSD_081_001,TCPLA_CSD_081_001
IMPC_CSD_081_001,UCDIP_CSD_081_001
IMPC_CSD_081_001,UCDLA_CSD_081_001
IMPC_CSD_082_001,HRWLIP_CSD_082_001
IMPC_CSD_082_001,HRWLLA_CSD_082_001
IMPC_CSD_082_001,JAXLA_CSD_082_001
IMPC_CSD_082_001,RBRCLA_CSD_082_001
IMPC_CSD_082_001,TCPIP_CSD_082_001
IMPC_CSD_082_001,TCPLA_CSD_082_001
IMPC_CSD_082_001,UCDIP_CSD_082_001
IMPC_CSD_082_001,UCDLA_CSD_082_001
IMPC_CSD_083_001,HRWLIP_CSD_083_001
IMPC_CSD_083_001,HRWLLA_CSD_083_001
IMPC_CSD_083_001,JAXLA_CSD_083_001
IMPC_CSD_083_001,RBRCLA_CSD_083_001
IMPC_CSD_083_001,TCPIP_CSD_083_001
IMPC_CSD_083_001,TCPLA_CSD_083_001
IMPC_CSD_083_001,UCDIP_CSD_083_001
IMPC_CSD_083_001,UCDLA_CSD_083_001
IMPC_CSD_084_001,HRWLIP_CSD_084_001
IMPC_CSD_084_001,HRWLLA_CSD_084_001
IMPC_CSD_084_001,JAXLA_CSD_084_001
IMPC_CSD_084_001,RBRCLA_CSD_084_001
IMPC_CSD_084_001,TCPIP_CSD_084_001
IMPC_CSD_084_001,TCPLA_CSD_084_001
IMPC_CSD_084_001,UCDIP_CSD_084_001
IMPC_CSD_084_001,UCDLA_CSD_084_001
IMPC_CSD_085_001,HRWLIP_CSD_085_001
IMPC_CSD_085_001,HRWLLA_CSD_085_001
IMPC_CSD_085_001,JAXLA_CSD_085_001
IMPC_CSD_085_001,RBRCLA_CSD_085_001
IMPC_CSD_085_001,TCPIP_CSD_085_001
IMPC_CSD_085_001,TCPLA_CSD_085_001
IMPC_CSD_085_001,UCDIP_CSD_085_001
IMPC_CSD_085_001,UCDLA_CSD_085_001
IMPC_CSD_086_001,HRWLIP_CSD_086_001
IMPC_CSD_086_001,HRWLLA_CSD_086_001
IMPC_CSD_086_001,JAXLA_CSD_086_001
IMPC_CSD_086_001,RBRCLA_CSD_086_001
IMPC_CSD_086_001,TCPIP_CSD_086_001
IMPC_CSD_086_001,TCPLA_CSD_086_001
IMPC_CSD_086_001,UCDIP_CSD_086_001
IMPC_CSD_086_001,UCDLA_CSD_086_001
IMPC_CSD_087_001,HRWLIP_CSD_087_001
IMPC_CSD_087_001,HRWLLA_CSD_087_001
IMPC_CSD_087_001,JAXLA_CSD_087_001
IMPC_CSD_087_001,RBRCLA_CSD_087_001
IMPC_CSD_087_001,TCPIP_CSD_087_001
IMPC_CSD_087_001,TCPLA_CSD_087_001
IMPC_CSD_087_001,UCDIP_CSD_087_001
IMPC_CSD_087_001,UCDLA_CSD_087_001
IMPC_DXA_001_001,BCMLA_DXA_001_001
IMPC_DXA_001_001,HMGULA_DXA_001_001
IMPC_DXA_001_001,HRWLLA_DXA_001_001
IMPC_DXA_001_001,ICSLA_DXA_001_001
IMPC_DXA_001_001,RBRCLA_DXA_001_001
IMPC_DXA_001_001,TCPLA_DXA_001_001
IMPC_DXA_001_001,UCDLA_DXA_001_001
IMPC_DXA_002_001,BCMLA_DXA_002_001
IMPC_DXA_002_001,HMGULA_DXA_002_001
IMPC_DXA_002_001,HRWLLA_DXA_002_001
IMPC_DXA_002_001,ICSLA_DXA_002_001
IMPC_DXA_002_001,RBRCLA_DXA_002_001
IMPC_DXA_002_001,TCPLA_DXA_002_001
IMPC_DXA_002_001,UCDLA_DXA_002_001
IMPC_DXA_003_001,BCMLA_DXA_003_001
IMPC_DXA_003_001,HMGULA_DXA_003_001
IMPC_DXA_003_001,HRWLLA_DXA_003_001
IMPC_DXA_003_001,ICSLA_DXA_003_001
IMPC_DXA_003_001,RBRCLA_DXA_003_001
IMPC_DXA_003_001,TCPLA_DXA_003_001
IMPC_DXA_003_001,UCDLA_DXA_003_001
IMPC_DXA_004_001,BCMLA_DXA_004_001
IMPC_DXA_004_001,HMGULA_DXA_004_001
IMPC_DXA_004_001,HRWLLA_DXA_004_001
IMPC_DXA_004_001,ICSLA_DXA_004_001
IMPC_DXA_004_001,RBRCLA_DXA_004_001
IMPC_DXA_004_001,TCPLA_DXA_004_001
IMPC_DXA_004_001,UCDLA_DXA_004_001
IMPC_DXA_005_001,BCMLA_DXA_005_001
IMPC_DXA_005_001,HMGULA_DXA_005_001
IMPC_DXA_005_001,HRWLLA_DXA_005_001
IMPC_DXA_005_001,ICSLA_DXA_005_001
IMPC_DXA_005_001,RBRCLA_DXA_005_001
IMPC_DXA_005_001,TCPLA_DXA_005_001
IMPC_DXA_005_001,UCDLA_DXA_005_001
IMPC_DXA_006_001,BCMLA_DXA_006_001
IMPC_DXA_006_001,HMGULA_DXA_006_001
IMPC_DXA_006_001,HRWLLA_DXA_006_001
IMPC_DXA_006_001,ICSLA_DXA_006_001
IMPC_DXA_006_001,RBRCLA_DXA_006_001
IMPC_DXA_006_001,TCPLA_DXA_006_001
IMPC_DXA_006_001,UCDLA_DXA_006_001
IMPC_DXA_007_001,BCMLA_DXA_007_001
IMPC_DXA_007_001,HMGULA_DXA_007_001
IMPC_DXA_007_001,HRWLLA_DXA_007_001
IMPC_DXA_007_001,ICSLA_DXA_007_001
IMPC_DXA_007_001,RBRCLA_DXA_007_001
IMPC_DXA_007_001,TCPLA_DXA_007_001
IMPC_DXA_007_001,UCDLA_DXA_007_001
IMPC_DXA_008_001,BCMLA_DXA_008_001
IMPC_DXA_008_001,HMGULA_DXA_008_001
IMPC_DXA_008_001,HRWLLA_DXA_008_001
IMPC_DXA_008_001,ICSLA_DXA_008_001
IMPC_DXA_008_001,RBRCLA_DXA_008_001
IMPC_DXA_008_001,TCPLA_DXA_008_001
IMPC_DXA_008_001,UCDLA_DXA_008_001
IMPC_DXA_009_001,BCMLA_DXA_009_001
IMPC_DXA_009_001,HMGULA_DXA_009_001
IMPC_DXA_009_001,HRWLLA_DXA_009_001
IMPC_DXA_009_001,ICSLA_DXA_009_001
IMPC_DXA_009_001,RBRCLA_DXA_009_001
IMPC_DXA_009_001,TCPLA_DXA_009_001
IMPC_DXA_009_001,UCDLA_DXA_009_001
IMPC_DXA_010_001,BCMLA_DXA_010_001
IMPC_DXA_010_001,HMGULA_DXA_010_001
IMPC_DXA_010_001,HRWLLA_DXA_010_001
IMPC_DXA_010_001,ICSLA_DXA_010_001
IMPC_DXA_010_001,RBRCLA_DXA_010_001
IMPC_DXA_010_001,TCPLA_DXA_010_001
IMPC_DXA_010_001,UCDLA_DXA_010_001
IMPC_DXA_011_001,BCMLA_DXA_011_001
IMPC_DXA_011_001,HMGULA_DXA_011_001
IMPC_DXA_011_001,HRWLLA_DXA_011_001
IMPC_DXA_011_001,ICSLA_DXA_011_001
IMPC_DXA_011_001,RBRCLA_DXA_011_001
IMPC_DXA_011_001,TCPLA_DXA_011_001
IMPC_DXA_011_001,UCDLA_DXA_011_001
