LA_parameter,EA_parameter
BCMLA_CBC_018_001,IMPC_CBC_018_001
BCMLA_CBC_040_001,IMPC_CBC_040_001
BCMLA_CBC_023_001,IMPC_CBC_023_001
BCMLA_CBC_001_001,IMPC_CBC_001_001
BCMLA_CBC_022_001,IMPC_CBC_022_001
BCMLA_CBC_057_001,IMPC_CBC_057_001
BCMLA_CBC_050_001,IMPC_CBC_050_001
BCMLA_CBC_004_001,IMPC_CBC_004_001
BCMLA_CBC_014_001,IMPC_CBC_014_001
BCMLA_CBC_034_001,IMPC_CBC_034_001
BCMLA_CBC_026_001,IMPC_CBC_026_001
BCMLA_CBC_054_001,IMPC_CBC_054_001
BCMLA_CBC_003_001,IMPC_CBC_003_001
BCMLA_CBC_015_001,IMPC_CBC_015_001
BCMLA_CBC_036_001,IMPC_CBC_036_001
BCMLA_CBC_037_001,IMPC_CBC_037_001
BCMLA_CBC_002_001,IMPC_CBC_002_001
BCMLA_CBC_030_001,IMPC_CBC_030_001
BCMLA_CBC_056_001,IMPC_CBC_056_001
BCMLA_CBC_020_001,IMPC_CBC_020_001
BCMLA_CBC_011_001,IMPC_CBC_011_001
BCMLA_PAT_055_002,IMPC_PAT_055_002
BCMLA_PAT_052_002,IMPC_PAT_052_002
BCMLA_PAT_002_002,IMPC_PAT_002_002
BCMLA_PAT_010_002,IMPC_PAT_010_002
BCMLA_PAT_074_001,IMPC_PAT_074_001
BCMLA_PAT_021_002,IMPC_PAT_021_002
BCMLA_PAT_063_001,IMPC_PAT_063_001
BCMLA_PAT_005_002,IMPC_PAT_005_002
BCMLA_PAT_016_002,IMPC_PAT_016_002
BCMLA_PAT_064_001,IMPC_PAT_064_001
BCMLA_PAT_073_001,IMPC_PAT_073_001
BCMLA_PAT_026_002,IMPC_PAT_026_002
BCMLA_PAT_033_001,IMPC_PAT_033_001
BCMLA_PAT_022_002,IMPC_PAT_022_002
BCMLA_PAT_003_002,IMPC_PAT_003_002
BCMLA_PAT_069_001,IMPC_PAT_069_001
BCMLA_PAT_024_002,IMPC_PAT_024_002
BCMLA_PAT_014_002,IMPC_PAT_014_002
BCMLA_PAT_020_002,IMPC_PAT_020_002
BCMLA_PAT_032_002,IMPC_PAT_032_002
BCMLA_PAT_054_002,IMPC_PAT_054_002
BCMLA_PAT_017_002,IMPC_PAT_017_002
BCMLA_PAT_007_002,IMPC_PAT_007_002
BCMLA_PAT_075_001,IMPC_PAT_075_001
BCMLA_PAT_065_001,IMPC_PAT_065_001
BCMLA_PAT_056_002,IMPC_PAT_056_002
BCMLA_PAT_061_002,IMPC_PAT_061_002
BCMLA_PAT_031_002,IMPC_PAT_031_002
BCMLA_PAT_004_002,IMPC_PAT_004_002
BCMLA_PAT_070_001,IMPC_PAT_070_001
BCMLA_PAT_071_001,IMPC_PAT_071_001
BCMLA_PAT_006_002,IMPC_PAT_006_002
BCMLA_PAT_034_001,IMPC_PAT_034_001
BCMLA_PAT_057_002,IMPC_PAT_057_002
BCMLA_PAT_076_001,IMPC_PAT_076_001
BCMLA_PAT_001_002,IMPC_PAT_001_002
BCMLA_PAT_072_001,IMPC_PAT_072_001
BCMLA_PAT_068_001,IMPC_PAT_068_001
BCMLA_PAT_023_002,IMPC_PAT_023_002
BCMLA_PAT_028_002,IMPC_PAT_028_002
BCMLA_PAT_015_002,IMPC_PAT_015_002
BCMLA_PAT_036_001,IMPC_PAT_036_001
BCMLA_PAT_030_002,IMPC_PAT_030_002
BCMLA_PAT_027_002,IMPC_PAT_027_002
BCMLA_PAT_035_001,IMPC_PAT_035_001
BCMLA_PAT_018_002,IMPC_PAT_018_002
BCMLA_PAT_062_001,IMPC_PAT_062_001
BCMLA_PAT_012_002,IMPC_PAT_012_002
BCMLA_PAT_025_002,IMPC_PAT_025_002
BCMLA_PAT_060_002,IMPC_PAT_060_002
BCMLA_PAT_019_002,IMPC_PAT_019_002
BCMLA_PAT_011_002,IMPC_PAT_011_002
BCMLA_PAT_049_002,IMPC_PAT_049_002
BCMLA_PAT_008_002,IMPC_PAT_008_002
BCMLA_PAT_067_001,IMPC_PAT_067_001
BCMLA_PAT_066_001,IMPC_PAT_066_001
BCMLA_PAT_013_002,IMPC_PAT_013_002
BCMLA_PAT_058_002,IMPC_PAT_058_002
BCMLA_PAT_029_002,IMPC_PAT_029_002
BCMLA_PAT_009_002,IMPC_PAT_009_002
BCMLA_PAT_059_002,IMPC_PAT_059_002
BCMLA_HIS_002_001,IMPC_HIS_002_001
BCMLA_HIS_010_001,IMPC_HIS_010_001
BCMLA_HIS_019_001,IMPC_HIS_019_001
BCMLA_HIS_327_001,IMPC_HIS_327_001
BCMLA_HIS_320_001,IMPC_HIS_320_001
BCMLA_HIS_091_001,IMPC_HIS_091_001
BCMLA_HIS_210_001,IMPC_HIS_210_001
BCMLA_HIS_339_001,IMPC_HIS_339_001
BCMLA_HIS_141_001,IMPC_HIS_141_001
BCMLA_HIS_233_001,IMPC_HIS_233_001
BCMLA_HIS_174_001,IMPC_HIS_174_001
BCMLA_HIS_060_001,IMPC_HIS_060_001
BCMLA_HIS_276_001,IMPC_HIS_276_001
BCMLA_HIS_289_001,IMPC_HIS_289_001
BCMLA_HIS_116_001,IMPC_HIS_116_001
BCMLA_HIS_127_001,IMPC_HIS_127_001
BCMLA_HIS_097_001,IMPC_HIS_097_001
BCMLA_HIS_089_001,IMPC_HIS_089_001
BCMLA_HIS_270_001,IMPC_HIS_270_001
BCMLA_HIS_250_001,IMPC_HIS_250_001
BCMLA_HIS_324_001,IMPC_HIS_324_001
BCMLA_HIS_050_001,IMPC_HIS_050_001
BCMLA_HIS_092_001,IMPC_HIS_092_001
BCMLA_HIS_345_001,IMPC_HIS_345_001
BCMLA_HIS_269_001,IMPC_HIS_269_001
BCMLA_HIS_336_001,IMPC_HIS_336_001
BCMLA_HIS_323_001,IMPC_HIS_323_001
BCMLA_HIS_154_001,IMPC_HIS_154_001
BCMLA_HIS_216_001,IMPC_HIS_216_001
BCMLA_HIS_100_001,IMPC_HIS_100_001
BCMLA_HIS_073_001,IMPC_HIS_073_001
BCMLA_HIS_109_001,IMPC_HIS_109_001
BCMLA_HIS_031_001,IMPC_HIS_031_001
BCMLA_HIS_333_001,IMPC_HIS_333_001
BCMLA_HIS_048_001,IMPC_HIS_048_001
BCMLA_HIS_349_001,IMPC_HIS_349_001
BCMLA_HIS_143_001,IMPC_HIS_143_001
BCMLA_HIS_319_001,IMPC_HIS_319_001
BCMLA_HIS_255_001,IMPC_HIS_255_001
BCMLA_HIS_136_001,IMPC_HIS_136_001
BCMLA_HIS_065_001,IMPC_HIS_065_001
BCMLA_HIS_204_002,IMPC_HIS_204_002
BCMLA_HIS_163_001,IMPC_HIS_163_001
BCMLA_HIS_155_001,IMPC_HIS_155_001
BCMLA_HIS_017_001,IMPC_HIS_017_001
BCMLA_HIS_264_001,IMPC_HIS_264_001
BCMLA_HIS_123_001,IMPC_HIS_123_001
BCMLA_HIS_145_001,IMPC_HIS_145_001
BCMLA_HIS_011_001,IMPC_HIS_011_001
BCMLA_HIS_035_001,IMPC_HIS_035_001
BCMLA_HIS_040_001,IMPC_HIS_040_001
BCMLA_HIS_102_001,IMPC_HIS_102_001
BCMLA_HIS_096_001,IMPC_HIS_096_001
BCMLA_HIS_302_001,IMPC_HIS_302_001
BCMLA_HIS_222_001,IMPC_HIS_222_001
BCMLA_HIS_312_001,IMPC_HIS_312_001
BCMLA_HIS_111_001,IMPC_HIS_111_001
BCMLA_HIS_152_001,IMPC_HIS_152_001
BCMLA_HIS_165_001,IMPC_HIS_165_001
BCMLA_HIS_203_002,IMPC_HIS_203_002
BCMLA_HIS_303_001,IMPC_HIS_303_001
BCMLA_HIS_036_001,IMPC_HIS_036_001
BCMLA_HIS_199_002,IMPC_HIS_199_002
BCMLA_HIS_054_001,IMPC_HIS_054_001
BCMLA_HIS_114_001,IMPC_HIS_114_001
BCMLA_HIS_087_001,IMPC_HIS_087_001
BCMLA_HIS_043_001,IMPC_HIS_043_001
BCMLA_HIS_085_001,IMPC_HIS_085_001
BCMLA_HIS_115_001,IMPC_HIS_115_001
BCMLA_HIS_128_001,IMPC_HIS_128_001
BCMLA_HIS_258_001,IMPC_HIS_258_001
BCMLA_HIS_112_001,IMPC_HIS_112_001
BCMLA_HIS_158_001,IMPC_HIS_158_001
BCMLA_HIS_074_001,IMPC_HIS_074_001
BCMLA_HIS_067_001,IMPC_HIS_067_001
BCMLA_HIS_232_001,IMPC_HIS_232_001
BCMLA_HIS_236_001,IMPC_HIS_236_001
BCMLA_HIS_218_001,IMPC_HIS_218_001
BCMLA_HIS_049_001,IMPC_HIS_049_001
BCMLA_HIS_281_001,IMPC_HIS_281_001
BCMLA_HIS_242_001,IMPC_HIS_242_001
BCMLA_HIS_075_001,IMPC_HIS_075_001
BCMLA_HIS_094_001,IMPC_HIS_094_001
BCMLA_HIS_334_001,IMPC_HIS_334_001
BCMLA_HIS_086_001,IMPC_HIS_086_001
BCMLA_HIS_221_001,IMPC_HIS_221_001
BCMLA_HIS_064_001,IMPC_HIS_064_001
BCMLA_HIS_177_001,IMPC_HIS_177_001
BCMLA_HIS_278_001,IMPC_HIS_278_001
BCMLA_HIS_325_001,IMPC_HIS_325_001
BCMLA_HIS_147_001,IMPC_HIS_147_001
BCMLA_HIS_178_001,IMPC_HIS_178_001
BCMLA_HIS_279_001,IMPC_HIS_279_001
BCMLA_HIS_330_001,IMPC_HIS_330_001
BCMLA_HIS_172_001,IMPC_HIS_172_001
BCMLA_HIS_055_001,IMPC_HIS_055_001
BCMLA_HIS_170_001,IMPC_HIS_170_001
BCMLA_HIS_180_002,IMPC_HIS_180_002
BCMLA_HIS_042_001,IMPC_HIS_042_001
BCMLA_HIS_004_001,IMPC_HIS_004_001
BCMLA_HIS_296_001,IMPC_HIS_296_001
BCMLA_HIS_039_001,IMPC_HIS_039_001
BCMLA_HIS_246_001,IMPC_HIS_246_001
BCMLA_HIS_053_001,IMPC_HIS_053_001
BCMLA_HIS_078_001,IMPC_HIS_078_001
BCMLA_HIS_220_001,IMPC_HIS_220_001
BCMLA_HIS_099_001,IMPC_HIS_099_001
BCMLA_HIS_080_001,IMPC_HIS_080_001
BCMLA_HIS_341_001,IMPC_HIS_341_001
BCMLA_HIS_108_001,IMPC_HIS_108_001
BCMLA_HIS_213_001,IMPC_HIS_213_001
BCMLA_HIS_007_001,IMPC_HIS_007_001
BCMLA_HIS_326_001,IMPC_HIS_326_001
BCMLA_HIS_283_001,IMPC_HIS_283_001
BCMLA_HIS_195_002,IMPC_HIS_195_002
BCMLA_HIS_025_001,IMPC_HIS_025_001
BCMLA_HIS_126_001,IMPC_HIS_126_001
BCMLA_HIS_084_001,IMPC_HIS_084_001
BCMLA_HIS_003_001,IMPC_HIS_003_001
BCMLA_HIS_198_002,IMPC_HIS_198_002
BCMLA_HIS_306_001,IMPC_HIS_306_001
BCMLA_HIS_184_002,IMPC_HIS_184_002
BCMLA_HIS_169_001,IMPC_HIS_169_001
BCMLA_HIS_301_001,IMPC_HIS_301_001
BCMLA_HIS_332_001,IMPC_HIS_332_001
BCMLA_HIS_262_001,IMPC_HIS_262_001
BCMLA_HIS_237_001,IMPC_HIS_237_001
BCMLA_HIS_018_001,IMPC_HIS_018_001
BCMLA_HIS_201_002,IMPC_HIS_201_002
BCMLA_HIS_194_002,IMPC_HIS_194_002
BCMLA_HIS_260_001,IMPC_HIS_260_001
BCMLA_HIS_288_001,IMPC_HIS_288_001
BCMLA_HIS_314_001,IMPC_HIS_314_001
BCMLA_HIS_113_001,IMPC_HIS_113_001
BCMLA_HIS_142_001,IMPC_HIS_142_001
BCMLA_HIS_328_001,IMPC_HIS_328_001
BCMLA_HIS_310_001,IMPC_HIS_310_001
BCMLA_HIS_205_002,IMPC_HIS_205_002
BCMLA_HIS_138_001,IMPC_HIS_138_001
BCMLA_HIS_208_001,IMPC_HIS_208_001
BCMLA_HIS_315_001,IMPC_HIS_315_001
BCMLA_HIS_061_001,IMPC_HIS_061_001
BCMLA_HIS_162_001,IMPC_HIS_162_001
BCMLA_HIS_181_002,IMPC_HIS_181_002
BCMLA_HIS_063_001,IMPC_HIS_063_001
BCMLA_HIS_023_001,IMPC_HIS_023_001
BCMLA_HIS_311_001,IMPC_HIS_311_001
BCMLA_HIS_228_001,IMPC_HIS_228_001
BCMLA_HIS_083_001,IMPC_HIS_083_001
BCMLA_HIS_267_001,IMPC_HIS_267_001
BCMLA_HIS_273_001,IMPC_HIS_273_001
BCMLA_HIS_134_001,IMPC_HIS_134_001
BCMLA_HIS_135_001,IMPC_HIS_135_001
BCMLA_HIS_271_001,IMPC_HIS_271_001
BCMLA_HIS_146_001,IMPC_HIS_146_001
BCMLA_HIS_229_001,IMPC_HIS_229_001
BCMLA_HIS_247_001,IMPC_HIS_247_001
BCMLA_HIS_037_001,IMPC_HIS_037_001
BCMLA_HIS_321_001,IMPC_HIS_321_001
BCMLA_HIS_076_001,IMPC_HIS_076_001
BCMLA_HIS_187_002,IMPC_HIS_187_002
BCMLA_HIS_098_001,IMPC_HIS_098_001
BCMLA_HIS_235_001,IMPC_HIS_235_001
BCMLA_HIS_249_001,IMPC_HIS_249_001
BCMLA_HIS_008_001,IMPC_HIS_008_001
BCMLA_HIS_164_001,IMPC_HIS_164_001
BCMLA_HIS_160_001,IMPC_HIS_160_001
BCMLA_HIS_072_001,IMPC_HIS_072_001
BCMLA_HIS_032_001,IMPC_HIS_032_001
BCMLA_HIS_095_001,IMPC_HIS_095_001
BCMLA_HIS_101_001,IMPC_HIS_101_001
BCMLA_HIS_298_001,IMPC_HIS_298_001
BCMLA_HIS_280_001,IMPC_HIS_280_001
BCMLA_HIS_192_002,IMPC_HIS_192_002
BCMLA_HIS_217_001,IMPC_HIS_217_001
BCMLA_HIS_047_001,IMPC_HIS_047_001
BCMLA_HIS_214_001,IMPC_HIS_214_001
BCMLA_HIS_231_001,IMPC_HIS_231_001
BCMLA_HIS_088_001,IMPC_HIS_088_001
BCMLA_HIS_059_001,IMPC_HIS_059_001
BCMLA_HIS_268_001,IMPC_HIS_268_001
BCMLA_HIS_275_001,IMPC_HIS_275_001
BCMLA_HIS_200_002,IMPC_HIS_200_002
BCMLA_HIS_159_001,IMPC_HIS_159_001
BCMLA_HIS_335_001,IMPC_HIS_335_001
BCMLA_HIS_227_001,IMPC_HIS_227_001
BCMLA_HIS_179_002,IMPC_HIS_179_002
BCMLA_HIS_038_001,IMPC_HIS_038_001
BCMLA_HIS_157_001,IMPC_HIS_157_001
BCMLA_HIS_148_001,IMPC_HIS_148_001
BCMLA_HIS_241_001,IMPC_HIS_241_001
BCMLA_HIS_103_001,IMPC_HIS_103_001
BCMLA_HIS_125_001,IMPC_HIS_125_001
BCMLA_HIS_244_001,IMPC_HIS_244_001
BCMLA_HIS_028_001,IMPC_HIS_028_001
BCMLA_HIS_033_001,IMPC_HIS_033_001
BCMLA_HIS_215_001,IMPC_HIS_215_001
BCMLA_HIS_272_001,IMPC_HIS_272_001
BCMLA_HIS_308_001,IMPC_HIS_308_001
BCMLA_HIS_252_001,IMPC_HIS_252_001
BCMLA_HIS_026_001,IMPC_HIS_026_001
BCMLA_HIS_122_001,IMPC_HIS_122_001
BCMLA_HIS_137_001,IMPC_HIS_137_001
BCMLA_HIS_082_001,IMPC_HIS_082_001
BCMLA_HIS_183_002,IMPC_HIS_183_002
BCMLA_HIS_058_001,IMPC_HIS_058_001
BCMLA_HIS_020_001,IMPC_HIS_020_001
BCMLA_HIS_186_002,IMPC_HIS_186_002
BCMLA_HIS_265_001,IMPC_HIS_265_001
BCMLA_HIS_299_001,IMPC_HIS_299_001
BCMLA_HIS_151_001,IMPC_HIS_151_001
BCMLA_HIS_329_001,IMPC_HIS_329_001
BCMLA_HIS_090_001,IMPC_HIS_090_001
BCMLA_HIS_051_001,IMPC_HIS_051_001
BCMLA_HIS_291_001,IMPC_HIS_291_001
BCMLA_HIS_139_001,IMPC_HIS_139_001
BCMLA_HIS_313_001,IMPC_HIS_313_001
BCMLA_HIS_030_001,IMPC_HIS_030_001
BCMLA_HIS_297_001,IMPC_HIS_297_001
BCMLA_HIS_166_001,IMPC_HIS_166_001
BCMLA_HIS_132_001,IMPC_HIS_132_001
BCMLA_HIS_130_001,IMPC_HIS_130_001
BCMLA_HIS_219_001,IMPC_HIS_219_001
BCMLA_HIS_206_002,IMPC_HIS_206_002
BCMLA_HIS_168_001,IMPC_HIS_168_001
BCMLA_HIS_305_001,IMPC_HIS_305_001
BCMLA_HIS_224_001,IMPC_HIS_224_001
BCMLA_HIS_079_001,IMPC_HIS_079_001
BCMLA_HIS_131_001,IMPC_HIS_131_001
BCMLA_HIS_212_001,IMPC_HIS_212_001
BCMLA_HIS_071_001,IMPC_HIS_071_001
BCMLA_HIS_223_001,IMPC_HIS_223_001
BCMLA_HIS_034_001,IMPC_HIS_034_001
BCMLA_HIS_044_001,IMPC_HIS_044_001
BCMLA_HIS_081_001,IMPC_HIS_081_001
BCMLA_HIS_016_001,IMPC_HIS_016_001
BCMLA_HIS_173_001,IMPC_HIS_173_001
BCMLA_HIS_006_001,IMPC_HIS_006_001
BCMLA_HIS_027_001,IMPC_HIS_027_001
BCMLA_HIS_307_001,IMPC_HIS_307_001
BCMLA_HIS_322_001,IMPC_HIS_322_001
BCMLA_HIS_196_002,IMPC_HIS_196_002
BCMLA_HIS_176_001,IMPC_HIS_176_001
BCMLA_HIS_261_001,IMPC_HIS_261_001
BCMLA_HIS_175_001,IMPC_HIS_175_001
BCMLA_HIS_257_001,IMPC_HIS_257_001
BCMLA_HIS_150_001,IMPC_HIS_150_001
BCMLA_HIS_230_001,IMPC_HIS_230_001
BCMLA_HIS_153_001,IMPC_HIS_153_001
BCMLA_HIS_068_001,IMPC_HIS_068_001
BCMLA_HIS_287_001,IMPC_HIS_287_001
BCMLA_HIS_239_001,IMPC_HIS_239_001
BCMLA_HIS_304_001,IMPC_HIS_304_001
BCMLA_HIS_117_001,IMPC_HIS_117_001
BCMLA_HIS_121_001,IMPC_HIS_121_001
BCMLA_HIS_069_001,IMPC_HIS_069_001
BCMLA_HIS_140_001,IMPC_HIS_140_001
BCMLA_HIS_104_001,IMPC_HIS_104_001
BCMLA_HIS_124_001,IMPC_HIS_124_001
BCMLA_HIS_062_001,IMPC_HIS_062_001
BCMLA_HIS_211_001,IMPC_HIS_211_001
BCMLA_HIS_347_001,IMPC_HIS_347_001
BCMLA_HIS_052_001,IMPC_HIS_052_001
BCMLA_HIS_285_001,IMPC_HIS_285_001
BCMLA_HIS_238_001,IMPC_HIS_238_001
BCMLA_HIS_105_001,IMPC_HIS_105_001
BCMLA_HIS_225_001,IMPC_HIS_225_001
BCMLA_HIS_015_001,IMPC_HIS_015_001
BCMLA_HIS_056_001,IMPC_HIS_056_001
BCMLA_HIS_316_001,IMPC_HIS_316_001
BCMLA_HIS_156_001,IMPC_HIS_156_001
BCMLA_HIS_182_002,IMPC_HIS_182_002
BCMLA_HIS_193_002,IMPC_HIS_193_002
BCMLA_HIS_348_001,IMPC_HIS_348_001
BCMLA_HIS_344_001,IMPC_HIS_344_001
BCMLA_HIS_129_001,IMPC_HIS_129_001
BCMLA_HIS_226_001,IMPC_HIS_226_001
BCMLA_HIS_005_001,IMPC_HIS_005_001
BCMLA_HIS_118_001,IMPC_HIS_118_001
BCMLA_HIS_346_001,IMPC_HIS_346_001
BCMLA_HIS_274_001,IMPC_HIS_274_001
BCMLA_HIS_294_001,IMPC_HIS_294_001
BCMLA_HIS_240_001,IMPC_HIS_240_001
BCMLA_HIS_207_002,IMPC_HIS_207_002
BCMLA_HIS_248_001,IMPC_HIS_248_001
BCMLA_HIS_202_002,IMPC_HIS_202_002
BCMLA_HIS_070_001,IMPC_HIS_070_001
BCMLA_HIS_295_001,IMPC_HIS_295_001
BCMLA_HIS_263_001,IMPC_HIS_263_001
BCMLA_HIS_024_001,IMPC_HIS_024_001
BCMLA_HIS_106_001,IMPC_HIS_106_001
BCMLA_HIS_021_001,IMPC_HIS_021_001
BCMLA_HIS_309_001,IMPC_HIS_309_001
BCMLA_HIS_290_001,IMPC_HIS_290_001
BCMLA_HIS_293_001,IMPC_HIS_293_001
BCMLA_HIS_256_001,IMPC_HIS_256_001
BCMLA_HIS_343_001,IMPC_HIS_343_001
BCMLA_HIS_045_001,IMPC_HIS_045_001
BCMLA_HIS_338_001,IMPC_HIS_338_001
BCMLA_HIS_107_001,IMPC_HIS_107_001
BCMLA_HIS_190_002,IMPC_HIS_190_002
BCMLA_HIS_284_001,IMPC_HIS_284_001
BCMLA_HIS_077_001,IMPC_HIS_077_001
BCMLA_HIS_259_001,IMPC_HIS_259_001
BCMLA_HIS_014_001,IMPC_HIS_014_001
BCMLA_HIS_144_001,IMPC_HIS_144_001
BCMLA_HIS_119_001,IMPC_HIS_119_001
BCMLA_HIS_209_001,IMPC_HIS_209_001
BCMLA_HIS_188_002,IMPC_HIS_188_002
BCMLA_HIS_046_001,IMPC_HIS_046_001
BCMLA_HIS_253_001,IMPC_HIS_253_001
BCMLA_HIS_282_001,IMPC_HIS_282_001
BCMLA_HIS_197_002,IMPC_HIS_197_002
BCMLA_HIS_292_001,IMPC_HIS_292_001
BCMLA_HIS_161_001,IMPC_HIS_161_001
BCMLA_HIS_245_001,IMPC_HIS_245_001
BCMLA_HIS_340_001,IMPC_HIS_340_001
BCMLA_HIS_254_001,IMPC_HIS_254_001
BCMLA_HIS_251_001,IMPC_HIS_251_001
BCMLA_HIS_266_001,IMPC_HIS_266_001
BCMLA_HIS_022_001,IMPC_HIS_022_001
BCMLA_HIS_012_001,IMPC_HIS_012_001
BCMLA_HIS_029_001,IMPC_HIS_029_001
BCMLA_HIS_191_002,IMPC_HIS_191_002
BCMLA_HIS_110_001,IMPC_HIS_110_001
BCMLA_HIS_331_001,IMPC_HIS_331_001
BCMLA_HIS_120_001,IMPC_HIS_120_001
BCMLA_HIS_337_001,IMPC_HIS_337_001
BCMLA_HIS_066_001,IMPC_HIS_066_001
BCMLA_HIS_149_001,IMPC_HIS_149_001
BCMLA_HIS_277_001,IMPC_HIS_277_001
BCMLA_HIS_167_001,IMPC_HIS_167_001
BCMLA_HIS_243_001,IMPC_HIS_243_001
BCMLA_HIS_133_001,IMPC_HIS_133_001
BCMLA_HIS_057_001,IMPC_HIS_057_001
BCMLA_HIS_300_001,IMPC_HIS_300_001
BCMLA_HIS_001_001,IMPC_HIS_001_001
BCMLA_HIS_189_002,IMPC_HIS_189_002
BCMLA_HIS_342_001,IMPC_HIS_342_001
BCMLA_HIS_185_002,IMPC_HIS_185_002
BCMLA_HIS_041_001,IMPC_HIS_041_001
BCMLA_HIS_317_001,IMPC_HIS_317_001
BCMLA_HIS_013_001,IMPC_HIS_013_001
BCMLA_HIS_318_001,IMPC_HIS_318_001
BCMLA_HIS_009_001,IMPC_HIS_009_001
BCMLA_HIS_286_001,IMPC_HIS_286_001
BCMLA_HIS_093_001,IMPC_HIS_093_001
BCMLA_HIS_234_001,IMPC_HIS_234_001
BCMLA_HIS_171_001,IMPC_HIS_171_001
BCMLA_HEM_038_001,IMPC_HEM_038_001
BCMLA_HEM_030_001,IMPC_HEM_030_001
BCMLA_HEM_006_001,IMPC_HEM_006_001
BCMLA_HEM_023_001,IMPC_HEM_023_001
BCMLA_HEM_033_001,IMPC_HEM_033_001
BCMLA_HEM_001_001,IMPC_HEM_001_001
BCMLA_HEM_013_001,IMPC_HEM_013_001
BCMLA_HEM_036_001,IMPC_HEM_036_001
BCMLA_HEM_042_001,IMPC_HEM_042_001
BCMLA_HEM_016_001,IMPC_HEM_016_001
BCMLA_HEM_018_001,IMPC_HEM_018_001
BCMLA_HEM_043_001,IMPC_HEM_043_001
BCMLA_HEM_035_001,IMPC_HEM_035_001
BCMLA_HEM_011_001,IMPC_HEM_011_001
BCMLA_HEM_002_001,IMPC_HEM_002_001
BCMLA_HEM_031_001,IMPC_HEM_031_001
BCMLA_HEM_032_001,IMPC_HEM_032_001
BCMLA_HEM_010_001,IMPC_HEM_010_001
BCMLA_HEM_039_001,IMPC_HEM_039_001
BCMLA_HEM_017_001,IMPC_HEM_017_001
BCMLA_HEM_012_001,IMPC_HEM_012_001
BCMLA_HEM_024_001,IMPC_HEM_024_001
BCMLA_HEM_028_001,IMPC_HEM_028_001
BCMLA_HEM_034_001,IMPC_HEM_034_001
BCMLA_HEM_029_001,IMPC_HEM_029_001
BCMLA_HEM_040_001,IMPC_HEM_040_001
BCMLA_HEM_019_001,IMPC_HEM_019_001
BCMLA_HEM_015_001,IMPC_HEM_015_001
BCMLA_HEM_014_001,IMPC_HEM_014_001
BCMLA_HEM_007_001,IMPC_HEM_007_001
BCMLA_HEM_041_001,IMPC_HEM_041_001
BCMLA_HEM_021_001,IMPC_HEM_021_001
BCMLA_HEM_020_001,IMPC_HEM_020_001
BCMLA_HEM_037_001,IMPC_HEM_037_001
BCMLA_HEM_026_001,IMPC_HEM_026_001
BCMLA_HEM_005_001,IMPC_HEM_005_001
BCMLA_HEM_004_001,IMPC_HEM_004_001
BCMLA_HEM_027_001,IMPC_HEM_027_001
BCMLA_HEM_025_001,IMPC_HEM_025_001
BCMLA_HEM_009_001,IMPC_HEM_009_001
BCMLA_HEM_003_001,IMPC_HEM_003_001
BCMLA_HEM_008_001,IMPC_HEM_008_001
BCMLA_OWT_019_001,IMPC_OWT_019_001
BCMLA_OWT_018_001,IMPC_OWT_018_001
BCMLA_OWT_020_001,IMPC_OWT_020_001
BCMLA_OWT_001_001,IMPC_OWT_001_001
BCMLA_OWT_003_001,IMPC_OWT_003_001
BCMLA_OWT_014_001,IMPC_OWT_014_001
BCMLA_OWT_015_001,IMPC_OWT_015_001
BCMLA_OWT_005_001,IMPC_OWT_005_001
BCMLA_OWT_010_001,IMPC_OWT_010_001
BCMLA_OWT_012_001,IMPC_OWT_012_001
BCMLA_OWT_017_001,IMPC_OWT_017_001
BCMLA_OWT_013_001,IMPC_OWT_013_001
BCMLA_OWT_004_001,IMPC_OWT_004_001
BCMLA_OWT_006_001,IMPC_OWT_006_001
BCMLA_OWT_009_001,IMPC_OWT_009_001
BCMLA_OWT_011_001,IMPC_OWT_011_001
BCMLA_OWT_008_001,IMPC_OWT_008_001
BCMLA_OWT_016_001,IMPC_OWT_016_001
BCMLA_OWT_002_001,IMPC_OWT_002_001
BCMLA_OWT_007_001,IMPC_OWT_007_001
BCMLA_HWT_002_001,IMPC_HWT_002_001
BCMLA_HWT_013_001,IMPC_HWT_013_001
BCMLA_HWT_008_001,IMPC_HWT_008_001
BCMLA_HWT_012_001,IMPC_HWT_012_001
BCMLA_HWT_007_001,IMPC_HWT_007_001
BCMLA_HWT_005_001,IMPC_HWT_005_001
BCMLA_HWT_010_001,IMPC_HWT_010_001
BCMLA_HWT_003_001,IMPC_HWT_003_001
BCMLA_HWT_011_001,IMPC_HWT_011_001
BCMLA_HWT_001_001,IMPC_HWT_001_001
BCMLA_HWT_006_001,IMPC_HWT_006_001
BCMLA_HWT_009_001,IMPC_HWT_009_001
KMPCLA_BWT_006_001,IMPC_BWT_006_001
KMPCLA_BWT_008_001,IMPC_BWT_008_001
KMPCLA_BWT_003_001,IMPC_BWT_003_001
KMPCLA_BWT_007_001,IMPC_BWT_007_001
KMPCLA_BWT_004_001,IMPC_BWT_004_001
KMPCLA_BWT_001_001,IMPC_BWT_001_001
KMPCLA_BWT_005_001,IMPC_BWT_005_001
KMPCLA_BWT_002_001,IMPC_BWT_002_001
KMPCLA_CSD_076_001,IMPC_CSD_076_001
KMPCLA_CSD_039_001,IMPC_CSD_039_001
KMPCLA_CSD_030_001,IMPC_CSD_030_001
KMPCLA_CSD_016_001,IMPC_CSD_016_001
