LA_parameter,EA_parameter
RBRCLA_PAT_067_001,IMPC_PAT_067_001
RBRCLA_PAT_015_002,IMPC_PAT_015_002
RBRCLA_PAT_075_001,IMPC_PAT_075_001
RBRCLA_PAT_066_001,IMPC_PAT_066_001
RBRCLA_PAT_008_002,IMPC_PAT_008_002
RBRCLA_PAT_017_002,IMPC_PAT_017_002
RBRCLA_HWT_008_001,IMPC_HWT_008_001
RBRCLA_HWT_007_001,IMPC_HWT_007_001
RBRCLA_HWT_013_001,IMPC_HWT_013_001
RBRCLA_HWT_009_001,IMPC_HWT_009_001
RBRCLA_HWT_006_001,IMPC_HWT_006_001
RBRCLA_HWT_012_001,IMPC_HWT_012_001
RBRCLA_HWT_011_001,IMPC_HWT_011_001
RBRCLA_HWT_003_001,IMPC_HWT_003_001
RBRCLA_HWT_010_001,IMPC_HWT_010_001
RBRCLA_HWT_002_001,IMPC_HWT_002_001
RBRCLA_HWT_005_001,IMPC_HWT_005_001
RBRCLA_HWT_001_001,IMPC_HWT_001_001
RBRCLA_BLK_009_001,IMPC_BLK_009_001
RBRCLA_BLK_029_001,IMPC_BLK_029_001
RBRCLA_BLK_024_001,IMPC_BLK_024_001
RBRCLA_BLK_017_001,IMPC_BLK_017_001
RBRCLA_BLK_008_001,IMPC_BLK_008_001
RBRCLA_BLK_022_001,IMPC_BLK_022_001
RBRCLA_BLK_023_001,IMPC_BLK_023_001
RBRCLA_BLK_007_001,IMPC_BLK_007_001
RBRCLA_BLK_031_001,IMPC_BLK_031_001
RBRCLA_BLK_047_001,IMPC_BLK_047_001
RBRCLA_BLK_051_001,IMPC_BLK_051_001
RBRCLA_BLK_025_001,IMPC_BLK_025_001
RBRCLA_BLK_026_001,IMPC_BLK_026_001
RBRCLA_BLK_033_001,IMPC_BLK_033_001
RBRCLA_BLK_052_001,IMPC_BLK_052_001
RBRCLA_BLK_036_001,IMPC_BLK_036_001
RBRCLA_BLK_021_001,IMPC_BLK_021_001
RBRCLA_BLK_003_001,IMPC_BLK_003_001
RBRCLA_BLK_041_001,IMPC_BLK_041_001
RBRCLA_BLK_006_001,IMPC_BLK_006_001
RBRCLA_BLK_039_001,IMPC_BLK_039_001
RBRCLA_BLK_010_001,IMPC_BLK_010_001
RBRCLA_BLK_011_001,IMPC_BLK_011_001
RBRCLA_BLK_013_001,IMPC_BLK_013_001
RBRCLA_BLK_002_001,IMPC_BLK_002_001
RBRCLA_BLK_016_001,IMPC_BLK_016_001
RBRCLA_BLK_045_001,IMPC_BLK_045_001
RBRCLA_BLK_042_001,IMPC_BLK_042_001
RBRCLA_BLK_044_001,IMPC_BLK_044_001
RBRCLA_BLK_050_001,IMPC_BLK_050_001
RBRCLA_BLK_043_001,IMPC_BLK_043_001
RBRCLA_BLK_020_001,IMPC_BLK_020_001
RBRCLA_BLK_040_001,IMPC_BLK_040_001
RBRCLA_BLK_056_001,IMPC_BLK_056_001
RBRCLA_BLK_012_001,IMPC_BLK_012_001
RBRCLA_BLK_055_001,IMPC_BLK_055_001
RBRCLA_BLK_053_001,IMPC_BLK_053_001
RBRCLA_BLK_027_001,IMPC_BLK_027_001
RBRCLA_BLK_048_001,IMPC_BLK_048_001
RBRCLA_BLK_038_001,IMPC_BLK_038_001
RBRCLA_BLK_018_001,IMPC_BLK_018_001
RBRCLA_BLK_014_001,IMPC_BLK_014_001
RBRCLA_BLK_037_001,IMPC_BLK_037_001
RBRCLA_BLK_028_001,IMPC_BLK_028_001
RBRCLA_BLK_030_001,IMPC_BLK_030_001
RBRCLA_BLK_034_001,IMPC_BLK_034_001
RBRCLA_BLK_032_001,IMPC_BLK_032_001
RBRCLA_BLK_035_001,IMPC_BLK_035_001
RBRCLA_BLK_046_001,IMPC_BLK_046_001
RBRCLA_BLK_001_001,IMPC_BLK_001_001
RBRCLA_BLK_019_001,IMPC_BLK_019_001
RBRCLA_BLK_015_001,IMPC_BLK_015_001
RBRCLA_BLK_054_001,IMPC_BLK_054_001
RBRCLA_BLK_049_001,IMPC_BLK_049_001
RBRCLA_LDT_028_001,IMPC_LDT_028_001
RBRCLA_LDT_016_001,IMPC_LDT_016_001
RBRCLA_LDT_022_001,IMPC_LDT_022_001
RBRCLA_LDT_021_001,IMPC_LDT_021_001
RBRCLA_LDT_025_001,IMPC_LDT_025_001
RBRCLA_LDT_030_001,IMPC_LDT_030_001
RBRCLA_LDT_007_001,IMPC_LDT_007_001
RBRCLA_LDT_006_001,IMPC_LDT_006_001
RBRCLA_LDT_020_001,IMPC_LDT_020_001
RBRCLA_LDT_024_001,IMPC_LDT_024_001
RBRCLA_LDT_026_001,IMPC_LDT_026_001
RBRCLA_LDT_023_001,IMPC_LDT_023_001
RBRCLA_LDT_008_001,IMPC_LDT_008_001
RBRCLA_LDT_009_001,IMPC_LDT_009_001
RBRCLA_LDT_029_001,IMPC_LDT_029_001
RBRCLA_LDT_018_001,IMPC_LDT_018_001
RBRCLA_LDT_031_001,IMPC_LDT_031_001
RBRCLA_LDT_027_001,IMPC_LDT_027_001
RBRCLA_LDT_019_001,IMPC_LDT_019_001
RBRCLA_LDT_017_001,IMPC_LDT_017_001
RBRCLA_LDT_001_001,IMPC_LDT_001_001
RBRCLA_LDT_002_001,IMPC_LDT_002_001
RBRCLA_LDT_003_001,IMPC_LDT_003_001
RBRCLA_LDT_004_001,IMPC_LDT_004_001
RBRCLA_LDT_005_001,IMPC_LDT_005_001
RBRCLA_LDT_010_001,IMPC_LDT_010_001
RBRCLA_LDT_011_001,IMPC_LDT_011_001
RBRCLA_LDT_012_001,IMPC_LDT_012_001
RBRCLA_LDT_013_001,IMPC_LDT_013_001
RBRCLA_LDT_014_001,IMPC_LDT_014_001
RBRCLA_LDT_015_001,IMPC_LDT_015_001
RBRCLA_LDT_032_001,IMPC_LDT_032_001
RBRCLA_LDT_033_001,IMPC_LDT_033_001
RBRCLA_LDT_034_001,IMPC_LDT_034_001
RBRCLA_ACS_032_001,IMPC_ACS_032_001
RBRCLA_ACS_017_001,IMPC_ACS_017_001
RBRCLA_ACS_024_001,IMPC_ACS_024_001
RBRCLA_ACS_033_001,IMPC_ACS_033_001
RBRCLA_ACS_015_001,IMPC_ACS_015_001
RBRCLA_ACS_016_001,IMPC_ACS_016_001
RBRCLA_ACS_010_001,IMPC_ACS_010_001
RBRCLA_ACS_039_001,IMPC_ACS_039_001
RBRCLA_ACS_006_001,IMPC_ACS_006_001
RBRCLA_ACS_011_001,IMPC_ACS_011_001
RBRCLA_ACS_003_001,IMPC_ACS_003_001
RBRCLA_ACS_013_001,IMPC_ACS_013_001
RBRCLA_ACS_008_001,IMPC_ACS_008_001
RBRCLA_ACS_020_001,IMPC_ACS_020_001
RBRCLA_ACS_025_001,IMPC_ACS_025_001
RBRCLA_ACS_018_001,IMPC_ACS_018_001
RBRCLA_ACS_021_001,IMPC_ACS_021_001
RBRCLA_ACS_030_001,IMPC_ACS_030_001
RBRCLA_ACS_022_001,IMPC_ACS_022_001
RBRCLA_ACS_001_001,IMPC_ACS_001_001
RBRCLA_ACS_007_001,IMPC_ACS_007_001
RBRCLA_ACS_019_001,IMPC_ACS_019_001
RBRCLA_ACS_005_001,IMPC_ACS_005_001
RBRCLA_ACS_031_001,IMPC_ACS_031_001
RBRCLA_ACS_023_001,IMPC_ACS_023_001
RBRCLA_ACS_037_001,IMPC_ACS_037_001
RBRCLA_ACS_036_001,IMPC_ACS_036_001
RBRCLA_ACS_014_001,IMPC_ACS_014_001
RBRCLA_ACS_028_001,IMPC_ACS_028_001
RBRCLA_ACS_035_001,IMPC_ACS_035_001
RBRCLA_ACS_009_001,IMPC_ACS_009_001
RBRCLA_ACS_027_001,IMPC_ACS_027_001
RBRCLA_ACS_004_001,IMPC_ACS_004_001
RBRCLA_ACS_038_001,IMPC_ACS_038_001
RBRCLA_ACS_002_001,IMPC_ACS_002_001
RBRCLA_ACS_029_001,IMPC_ACS_029_001
RBRCLA_ACS_034_001,IMPC_ACS_034_001
RBRCLA_ACS_040_001,IMPC_ACS_040_001
RBRCLA_ACS_026_001,IMPC_ACS_026_001
RBRCLA_YMZ_025_001,IMPC_YMZ_025_001
RBRCLA_YMZ_002_001,IMPC_YMZ_002_001
RBRCLA_YMZ_009_001,IMPC_YMZ_009_001
RBRCLA_YMZ_017_001,IMPC_YMZ_017_001
RBRCLA_YMZ_023_001,IMPC_YMZ_023_001
RBRCLA_YMZ_026_001,IMPC_YMZ_026_001
RBRCLA_YMZ_001_001,IMPC_YMZ_001_001
RBRCLA_YMZ_024_001,IMPC_YMZ_024_001
